,job_id,title,rating,company,reviews,salary,location,skills,from_date,min_experience
1613,1613,Business Development Executive- CSR,0.0,Bal Bharti Academy,0,0,"New Delhi, Delhi(Badarpur)","('Proposal Writing', 'Survey', 'Primary Research', 'Research Projects', 'Development', 'Writing', 'Research', 'CSR')",30+ Days,1
1614,1614,MIS  Trainee,3.6,NWCC Supply Chain Solution,26,100000,Gurgaon/Gurugram(Sikandarpur),"('Pivot Table', 'VLOOKUP', 'Advanced Excel', 'Conditional Formatting', 'HLOOKUP', 'Excel', 'Training', 'MIS')",17 Days,0
1615,1615,Seo Executive,4.9,Gemone Diamonds,5,100000,"Surat, Gujarat","('Guest Posting', 'Link Building', 'Keyword Research', 'Off-page Optimization', 'On-page Optimization', 'SEO Analysis', 'Keyword Analysis', 'SEO')",30+ Days,0
1616,1616,Digital Media Executive,0.0, Adbite LLC,0,0,"Indore, Madhya Pradesh","('Communication Skills', 'Google Analytics', 'Google Ads', 'Analytical Skills', 'Media Buying', 'Display Advertising', 'Digital', 'Digital media')",17 Days,0
1617,1617,Ad Operations Executive,0.0,INK Revenue,0,200000,"Gurgaon/ Gurugram, Haryana, Delhi / NCR","('Google Sheets', 'Time Management', 'Digital Marketing', 'Excel Sheet', 'Computer Skills', 'Communication Skills', 'Analytical Skills', 'Ad Operations')",17 Days,0
1618,1618,Backoffice Executives required in Nagpur - Immediate Hiring,0.0,Pyramid Jobs,0,100000,Nagpur,"('Computer Operating', 'Office Management', 'MS Office', 'backoffice support', 'Back Office', 'Front Desk', 'Typing', 'Receptionist Activities')",27 Days,0
1619,1619,Operations Executive Bangalore,3.9,Teamlease Services Limited,2308,400000,"Bangalore/ Bengaluru, Karnataka","('SAP', 'Customer Service Management', 'Operational Support', 'Back Office Operations', 'MIS Operations', 'Procurement Operations', 'Vendor Relations', 'Catalog Management')",1 Day,1
1620,1620,Ienergizer Gurgaon is hiring MIS Exec/Sr. Exec - 5 Positions,4.3,Ienergizer,6398,100000,None,"('Countif', 'RTM', 'MIS Reporting', 'SUMIF', 'RTA', 'advanced excel formulas', 'MIS Operations', 'Conditional Formatting')",30+ Days,100
1621,1621,Business Consultant,4.2,Dr Reddys,5478,0,Hyderabad/Secunderabad,"('Process automation', 'Data analysis', 'Automation', 'Simulation', 'data science', 'Pharma', 'Formulation', 'Analytical')",30+ Days,1
1622,1622,MERCHANDISER CUM JEWELLERY DESIGNER,4.9,Mantras2success Consultants,8,0,Mumbai,"('ERP', 'Data analysis', 'Business analysis', 'MIS', 'Sales analysis', 'CAD', 'Product design', 'Merchandising')",19 Days,0
1623,1623,Management Trainee,4.5,Caliber Organisation,5,0,"Mumbai, Thane, Navi Mumbai","('Sales', 'B2b sales', 'Customer Servicing', 'Business planning', 'Strategic Marketing', 'Cross selling', 'Branding', 'Client management')",25 Days,0
